Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,4833700.0,24.772,17.716,994.5719,1.1609,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,4833700.0
1,4834955.0,24.794,17.724,994.58984,1.1608,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,4834955.0
2,4835006.0,24.751,17.716,994.5719,1.161,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,4835006.0
3,4835056.0,24.794,17.724,994.5719,1.1608,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,4835056.0
4,4835107.0,24.794,17.724,994.58984,1.1608,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,4835107.0
5,4835159.0,24.783,17.708,994.5719,1.1609,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,4835159.0
6,4835261.0,24.794,17.716,994.59906,1.1609,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,102.0
7,4835312.0,24.794,17.716,994.52625,1.1608,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,51.0
8,4835363.0,24.783,17.724,994.567,1.1609,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,51.0
9,4835465.0,24.783,17.716,994.58484,1.1609,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,102.0
10,4835673.0,24.783,17.724,994.51276,1.1608,0.0,4.7,0.0,188.0,1.0,267.33,0.0,0.0,310.0
11,4835774.0,24.794,17.716,994.5627,1.1608,0.0,4.7,0.0,200.0,1.0,267.33,0.0,0.0,411.0
12,4835876.0,24.794,17.716,994.567,1.1608,0.0,4.7,0.0,211.0,1.0,267.33,0.0,0.0,513.0
13,4836080.0,24.794,17.716,994.59406,1.1608,0.0,4.7,0.0,234.0,1.0,267.33,0.0,0.0,717.0
14,4836182.0,24.794,17.724,994.6169,1.1609,0.0,4.7,0.0,245.0,1.0,267.33,0.0,0.0,819.0
15,4836539.0,24.794,17.724,994.55005,1.1608,0.0,4.7,0.0,285.0,1.0,267.33,0.0,0.0,1176.0
16,4836640.0,24.794,17.716,994.58044,1.1608,0.0,4.7,0.0,296.0,1.0,267.33,0.0,0.0,1277.0
17,4836998.0,24.794,17.708,994.59845,1.1609,0.0,4.7,0.0,336.0,1.0,267.33,0.0,0.0,1635.0
18,4837099.0,24.783,17.716,994.52625,1.1608,0.0,4.7,0.0,348.0,1.0,267.33,0.0,0.0,1736.0
19,4837150.0,24.804,17.716,994.52625,1.1607,0.0,4.7,0.0,353.0,1.0,267.33,0.0,0.0,1787.0
20,4837201.0,24.815,17.724,994.55774,1.1607,0.0,4.7,0.0,359.0,1.0,267.33,0.0,0.0,1838.0
21,4837253.0,24.783,17.716,994.5617,1.1609,0.0,4.7,0.0,365.0,1.0,267.33,0.0,0.0,1890.0
22,4838068.0,24.804,17.708,994.52203,1.1607,0.0,4.7,0.0,456.0,1.0,267.33,0.0,0.0,2705.0
23,4838119.0,24.783,17.716,994.52203,1.1608,0.0,4.7,0.0,462.0,1.0,267.33,0.0,0.0,2756.0
24,4838425.0,24.794,17.716,994.55835,1.1608,0.0,4.7,0.0,496.0,1.0,267.33,0.0,0.0,3062.0
25,4838475.0,24.772,17.724,994.55835,1.1609,0.0,4.7,0.0,502.0,1.0,267.33,0.0,0.0,3112.0
26,4838629.0,24.783,17.716,994.51764,1.1608,0.0,4.7,0.0,519.0,1.0,267.33,0.0,0.0,3266.0
27,4838680.0,24.794,17.731,994.51764,1.1608,0.0,4.7,0.0,525.0,1.0,267.33,0.0,0.0,3317.0
28,4838833.0,24.772,17.724,994.55835,1.1609,0.0,4.7,0.0,542.0,1.0,267.33,0.0,0.0,3470.0
29,4838884.0,24.761,17.724,994.55835,1.1609,0.0,4.7,0.0,547.0,1.0,267.33,0.0,0.0,3521.0
30,4839444.0,24.794,17.724,994.5441,1.1608,0.0,4.7,0.0,610.0,1.0,267.33,0.0,0.0,4081.0
31,4839495.0,24.783,17.731,994.517,1.1608,0.0,4.7,0.0,616.0,1.0,267.33,0.0,0.0,4132.0
32,4839598.0,24.772,17.724,994.55347,1.1609,0.0,4.7,0.0,627.0,1.0,267.33,0.0,0.0,4235.0
33,4840566.0,24.783,17.708,994.5712,1.1609,0.0,4.7,0.0,735.0,1.0,267.33,0.0,0.0,5203.0
34,4840616.0,24.751,17.716,994.58984,1.161,0.0,4.7,0.0,741.0,1.0,267.33,0.0,0.0,5253.0
35,4840719.0,24.783,17.724,994.55347,1.1608,0.0,4.7,0.0,753.0,1.0,267.33,0.0,0.0,5356.0
36,4841229.0,24.772,17.724,994.56604,1.1609,0.0,4.7,0.0,810.0,1.0,267.33,0.0,0.0,5866.0
37,4841585.0,24.783,17.716,994.521,1.1608,0.0,4.7,0.0,849.0,1.0,267.33,0.0,0.0,6222.0
38,4842248.0,24.783,17.716,994.6213,1.1609,0.0,4.7,0.0,924.0,1.0,267.33,0.0,0.0,6885.0
